TIPO CONTRIBUYENTE;DOCUMENTO;RIM;CONTRIBUYENTE;TELEFONO;RESULTADO;OBSERVACIONES;PREGUNTA_1;PREGUNTA_2;PREGUNTA_3;PREGUNTA_4;PREGUNTA_5;PREGUNTA_6;PARROQUIA
JURIDICO;407954113;2900052979;BODEGON DE J INGRID, C.A.;4120732240;EXITOSA;ESTA INTERESADO;NO;;SI;;;;VENANCIO PULGAR
JURIDICO;409013472;7000000425;BODEGON DELICIAS, C.A.;7590744;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;407586769;2900048717;BODEGON DE LICORES Y CARNES LICOMARKET., C.A;4146261186;NO EXISTOSA;NO CONTESTA;;;;;;;ANTONIO BORJAS ROMERO
JURIDICO;294283179;2900019748;BODEGON DEL MUSSA C.A.;4246148680;NO EXISTOSA;USUARIO ERRADO;;;;;;;JUANA DE AVILA
JURIDICO;309255185;2000077717;BODEGON DE LOS COMPADRES C.A.;4146344212;NO EXISTOSA;TLF NO VALIDO;;;;;;;CACIQUE MARA
JURIDICO;402483139;1900047040;BODEGON & DISTRIBUIDORA EL GORDO PEREZ C.A;2617877654;NO EXISTOSA;NO CONTESTA;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;413054884;7000002070;BODEGON DON GOLLO C.A;4146175885;NO EXISTOSA;NO ESTÁ AUTORIZADO;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;315182343;2900013683;BODEGON EL SOL MARABINO, C.A.;4146172615;NO EXISTOSA;TLF NO VALIDO;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;295074972;2900022364;BODEGON ENTRA MANUEL, C.A.;4142435798;NO EXISTOSA;TLF NO VALIDO;;;;;;;BOLIVAR
JURIDICO;412395637;7000001536;BODEGON GAITA Y SABOR, C.A;4260607059;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;407411659;7000001133;BODEGON GUADALUPE 2016 C,A;4126848150;NO EXISTOSA;NO CONTESTA;;;;;;;IDELFONSO VASQUEZ
JURIDICO;309879413;1900033248;BODEGON ITALIANO C.A;4246553548;NO EXISTOSA;USUARIO ERRADO;;;;;;;RAUL LEONI
JURIDICO;402577109;2900049546;BODEGON LA CASA DEL LICOR´S, C.A.;4120736905;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;408326256;2900050691;BODEGON LA ENCRUCIJADA C.A;4146895070;EXITOSA;SIN NOVEDAD;SI;VISUAL 5;NO;MEDIANA;SATISFACTORIA;ES MUY COMPLETO;SAN ISIDRO
JURIDICO;293773172;2900014390;BODEGON LA FIRMA DE ORO C.A.;4246077703;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;411242586;7000001423;BODEGON PRISCARDI, CA;4143716387;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;293652863;2900016691;BODEGON SANTA MARIA ,C.A;4149627117;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403747326;2900045107;BODEGON Y DELICATESES SANTA RITA, C.A.;2617970855;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;294865860;2900039741;BODY LIGTH C.A;2617935308;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;306538836;2000044117;BODY S VENUS C.A.;7982928;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;400691737;2900037845;BODYTEZ MÉDICA, C.A.;4141693991;EXITOSA;NO ESTÁ AUTORIZADO;;;;;;;CHIQUINQUIRA
JURIDICO;297599070;2900026959;BOLIVARIANA DE PUERTOS (BOLIPUERTOS), S.A.;7231959;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;407826654;2900050454;BOMBAK;2616150912;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;314892380;2900015604;BOMBAS SERVICIOS C.A;7549459;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;300437159;2900040011;BONANZA C.A;4166608764;EXITOSA;SIN NOVEDAD;SI;NO SABE;SI;MEDIANA;SATISFACTORIA;ES SENCILLO DE MANEJAR;OLEGARIO VILLALOBOS
JURIDICO;300437159;2900050801;BONANZA C.A;2617782994;EXITOSA;SIN NOVEDAD;SI;NO SABE;SI;MEDIANA;SATISFACTORIA;ES SENCILLO DE MANEJAR;OLEGARIO VILLALOBOS
JURIDICO;409207218;7000001991;BOTERO SANINT C.A;4145162199;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;298781831;2900034677;BOUTIQUE ALESK C.A;7231396;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;401759092;2900048064;BOUTIQUE X-TREMA, C.A;4161624991;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;407666541;7000001752;BOUTIQUE Y ACCESORIOS ANANDA, C.A.;2617935578;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;70220953;2000086730;BRACHO APONTE Y ASOCIADOS S.A.;2619963706;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;298723220;2900029448;BRAZALETES VIP,C.A;4246141131;NO EXISTOSA;USUARIO ERRADO;;;;;;;SANTA LUCIA
JURIDICO;409845192;7000001015;BRAZVEN IMPORT 2017, CA;4143030024;NO EXISTOSA;TLF NO VALIDO;;;;;;;CHIQUINQUIRA
JURIDICO;404306250;2900044846;BRENDA TEX, CA;26172986098;NO EXISTOSA;TLF NO VALIDO;;;;;;;CHIQUINQUIRA
JURIDICO;311096175;203P000872;BRISAS FLORISTERIA, C.A.;2617922347;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;404921192;7000000605;BRITTANY MOTORS COMPAÑIA ANONIMA;4146987324;NO EXISTOSA;USUARIO ERRADO;;;;;;;MANUEL DAGNINO
JURIDICO;411597201;7000000633;BUDDHY MCBO CA;261965844;NO EXISTOSA;TLF NO VALIDO;;;;;;;IDELFONSO VASQUEZ
JURIDICO;308326453;211R000629;BUENA VISTA IMPORT Y EXPORT CA;2617413390;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;412665936;7000001754;BUHOOS COMPAÑIA ANONIMA.;4146809992;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;SATISFACTORIA;ES MUY COMPLETO;CHIQUINQUIRA
JURIDICO;412665936;7000002228;BUHOOS, COMPAÑIA ANONIMA (SUCURSAL);4245110983;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;SATISFACTORIA;ES MUY COMPLETO;CHIQUINQUIRA
JURIDICO;409599990;2900051829;BUHOS CAFE, C.A;2617629430;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;407817795;7000002211;BUONA PIZZA EXPRESS, C.A.(SUCURSAL);4146056144;EXITOSA;NO ESTÁ AUTORIZADO;;;;;;;COQUIVACOA
JURIDICO;317202392;2900033512;BURGOL ELECTRONIC LAS PLAYITAS, C.A.;2617231760;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;294214533;2900017030;CABELLO FASHION, C.A;4146220886;EXITOSA;ESTA INTERESADO;NO;;SI;;;;JUANA DE AVILA
JURIDICO;70003448;2000050795;C.A. CERVECERIA REGIONAL;7602485;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;70005270;2000040083;C.A. DE CORRETAJE SEGUROSCA DE OCCIDENTE;7921650;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;70011300;2000010178;C.A DE SEGUROS LA OCCIDENTAL;2002222;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;302025281;2000011265;C.A. DIARIO PANORAMA;7256955;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;301611640;2000036464;C.A DISTRIBUIDORA E IMPORTADORA ARDILA;2617594596;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;304706170;2900008670;C.A.D MATERIALES Y DISEÑOS, C.A;6111677;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;313556408;2900010089;CAFE COMERCIAL MARACAIBO, C.A.;4143614598;NO EXISTOSA;TLF NO VALIDO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;295106602;2900018405;CAFE CORTES, C.A;2617971459;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;409868869;2900051562;CAFÉ MILANO MARKET, C.A.;4146305614;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;SATISFACTORIA;SERVICIO TECNICO AGIL Y EFECTIVO;BOLIVAR
JURIDICO;312018526;2900024546;CAFE ONE, C.A.;2617183413;NO EXISTOSA;TLF NO VALIDO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;400966280;2900037094;CAFE RESTAURANT EL REY DEL POLLO, C.A.;2617878696;NO EXISTOSA;NO CONTESTA;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;401116094;2900038445;CAFETIN URBAN GOURMET, C.A;4246567839;EXITOSA;NO ESTÁ INTERESADO;NO;;NO;;;;JUANA DE AVILA
JURIDICO;404713069;2900045699;CAFE Y PASAPALOS LOS FRAILEJONES,CA;4146612149;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;299305570;2900030329;CAFFE STUDIO, C.A;4146421036;NO EXISTOSA;USUARIO ERRADO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403428476;2900043322;CAIRO SHOES, C.A.;2617418046;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;407099515;2900049759;CAJOAL CA.;2619351569;NO EXISTOSA;TLF NO VALIDO;;;;;;;COQUIVACOA
JURIDICO;309520180;211P000035;CALIDEX DE VENEZUELA C.A.;9965433;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;70311789;2000034228;CALZADO CRISTAL, C.A;4246440689;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;317280644;2900043505;CALZADOS CARAMELO CA;2617299289;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;402513968;2900042908;CALZADOS EUSSE C.A.;2614003283;NO EXISTOSA;USUARIO ERRADO;;;;;;;BOLIVAR
JURIDICO;303133916;2000012566;CALZADOS J.N. CARIBE C.A.;4246273795;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;303133916;2900035603;CALZADOS J.N. CARIBE C.A.;4246273795;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;299952117;2900032097;CALZADOS JOHAN SPORT C.A;8143849;NO EXISTOSA;USUARIO ERRADO;;;;;;;CHIQUINQUIRA
JURIDICO;700680;2000036536;CALZADOS NOVAFLEX, C.A;7210645;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;315758733;2900010592;CALZADOS WARDA C.A;7231720;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;315005719;2900050682;CAMARONERA EL CATABRE S.A.;4123190120;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;400637317;1900038338;CAMERINO FASHION C.A;7389694;EXITOSA;SIN NOVEDAD;SI;FACTURACION;SI;MEDIANA;SATISFACTORIA;ES SENCILLO DE MANEJAR;MANUEL DAGNINO
JURIDICO;306715894;2000044119;CAMOZZI VENEZUELA, S.A.;4146448362;NO EXISTOSA;USUARIO ERRADO;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;293707099;2900018935;CAMPEON C.A;4146054061;NO EXISTOSA;USUARIO ERRADO;;;;;;;RAUL LEONI
JURIDICO;70251336;2000074483;CANAL 11 DEL ZULIA, C.A.;2617170874;NO EXISTOSA;NO CONTESTA;;;;;;;CECILIO ACOSTA
JURIDICO;70119616;2000033580;CANEINCA CA;7975626;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;294507530;2900018967;CANELA GALERIAS C.A;7564169;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;401949266;2900039872;CANTA CLARO FAST FOOD N#1 ,C.A;7434493;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;401473750;2900038729;CANTON 888 EXPRES, C.A.;4126626671;NO EXISTOSA;TLF NO VALIDO;;;;;;;BOLIVAR
JURIDICO;408135884;2900050242;CAPILLAS VELATORIAS EXEQUIALES SAN JOSE, C.A.;2617511069;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;412974017;7000001926;CAPITAN CAMARON C.A;4146897580;NO EXISTOSA;USUARIO ERRADO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;405316225;2900047663;CAPITAN KISD C.A;2617228071;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;70315750;2000074499;CAPRICORNIO FUENTE DE SODA S.R.L.;2617874247;NO EXISTOSA;NO CONTESTA;;;;;;;CECILIO ACOSTA
JURIDICO;307019581;201R002218;CARBONELL ASOCIADOS C.A;7971427;NO EXISTOSA;NO CONTESTA;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;312157690;2900000465;CARBONES VENEZOLANOS DEL TACHIRA, C.A.;7232268;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;304043759;2000077253;CARFLO, C.A.;4246803653;EXITOSA;SIN NOVEDAD;SI;Saint;SI;ALTA;SATISFACTORIA;ES SENCILLO DE MANEJAR;CACIQUE MARA
JURIDICO;314781790;2900009556;CARFLOCA J Y L C.A;4246803653;EXITOSA;EMPRESA CERRADA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;298808586;2900029794;CARIBE IMPORT 2015 C.A.;4246086248;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;412179411;7000001790;CARIBE MARKET C.A;4146359583;EXITOSA;SIN NOVEDAD;SI;Saint;SI;ALTA;SATISFACTORIA;ES SENCILLO DE MANEJAR;IDELFONSO VASQUEZ
JURIDICO;304469896;202R000611;CARINSI CA;7921697;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;402048254;2900048995;CARIVECA, CA.;4146745125;NO EXISTOSA;TLF NO VALIDO;;;;;;;CHIQUINQUIRA
JURIDICO;298193794;2900042453;CARLOS CELULAR, C.A;4141747003;EXITOSA;NO ESTÁ INTERESADO;NO;;NO;;;;RAUL LEONI
JURIDICO;312174129;2900001385;CARLOS SIERRA DESIGNER, C.A.;4143442605;NO EXISTOSA;USUARIO ERRADO;;;;;;;JUANA DE AVILA
JURIDICO;310032696;2900034313;CARNEMAUTAGRILL BAR, C.A;7975857;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;401872255;2900040776;CARNICERIA AL CORTE, C.A.;4246670521;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403060010;2900042074;CARNICERIA ALIMENTOS Y VIVERES BOLIVARIANA C A;2617985487;NO EXISTOSA;NO CONTESTA;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;401723560;2900041291;CARNICERIA, CHARCUTERIA Y PESCADERIA LA EXCELENCIA, C.A;4146744923;NO EXISTOSA;NO CONTESTA;;;;;;;VENANCIO PULGAR
JURIDICO;402547099;2900043997;CARNICERIA CHARCUTERIA Y VIVERES LAFLORESTA C, A;2617784201;NO EXISTOSA;TLF NO VALIDO;;;;;;;RAUL LEONI
JURIDICO;308523577;2900031645;CARNICERIA, CHARCUTERIA Y VIVERES SANNITA, C.A.;4146506474;NO EXISTOSA;NO CONTESTA;;;;;;;CECILIO ACOSTA
JURIDICO;317425359;2900046805;CARNICERIA FRUTERIA VIVERES Y CHARCUTERIA LOS ANGELES, C.A.;4146863625;NO EXISTOSA;NO CONTESTA;;;;;;;CECILIO ACOSTA
JURIDICO;296839883;2900038405;CARNICERIA LA ORQUIDEA;4143646850;EXITOSA;NO ESTÁ AUTORIZADO;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;313391743;2900004220;CARNICERIA MI TERNERITA, C.A;7780303;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;298698853;2900037086;CARNICERIA VIVERES Y HORTLIZAS CHIQUINQUIRA C.A;4146643216;NO EXISTOSA;NO CONTESTA;;;;;;;ANTONIO BORJAS ROMERO
JURIDICO;410594810;7000000300;CARNICERIA Y CHARCUTERIA DENNYS, C.A;4126450867;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;295383150;2900032602;CARNICERIA Y CHARCUTERIA EL BRILLANTE C.A;7534653;NO EXISTOSA;NO CONTESTA;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;403093695;2900043660;CARNICERIA Y CHARCUTERIA EL ESTABLO, C.A.;4146057013;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;402333510;2900040673;CARNICERIA Y CHARCUTERIA EL GRAN GAITERO, C.A;2617363273;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;402330880;2900041437;CARNICERIA Y CHARCUTERIA GRACE Y FRAN 3, C.A;4169653884;NO EXISTOSA;TLF NO VALIDO;;;;;;;ANTONIO BORJAS ROMERO
JURIDICO;298638567;2900030576;CARNICERIA Y CHARCUTERIA LA CHAMARRETA C,A;4231052;NO EXISTOSA;NO CONTESTA;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;404766383;2900045266;CARNICERIA Y CHARCUTERIA LOS BUENOS HERMANOS,C.A;2617985169;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;402628080;2900043789;CARNICERIA Y CHARCUTERIA LOS COMPADRES, C.A;4246502353;NO EXISTOSA;NO CONTESTA;;;;;;;ANTONIO BORJAS ROMERO
JURIDICO;409771733;7000001309;CARNICERIA Y CHARCUTERIA MIS TRES REYNAS, CA;4120606913;NO EXISTOSA;USUARIO ERRADO;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;401852173;2900040199;CARNICERIA Y CHARCUTERIA SOL,C.A;2617534612;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;403961808;2900048411;CARNICERIA Y DISTRIBUIDORA DE POLLO TIO ALONSO, C.A;4126670098;EXITOSA;ESTA INTERESADO;NO;;SI;;;;VENANCIO PULGAR
JURIDICO;402821751;2900042347;CARNICERIA Y DISTRIBUIDORA POR PIEZA C.A;4246104418;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;70547987;2900000054;CARPACA C.A.;7500554;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;EXCELENTE;ES SENCILLO DE MANEJAR;IDELFONSO VASQUEZ
JURIDICO;70547987;107R001266;CARPACA C.A.;4126584774;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;EXCELENTE;ES SENCILLO DE MANEJAR;CHIQUINQUIRA
JURIDICO;70547987;1900037504;CARPACA C.A.;2614188893;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;EXCELENTE;ES SENCILLO DE MANEJAR;CHIQUINQUIRA
JURIDICO;70547987;1900037505;CARPACA C.A.;2614003241;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;EXCELENTE;ES SENCILLO DE MANEJAR;CHIQUINQUIRA
JURIDICO;410647116;2900052880;CARPER STORE 2.0 C.A.;4161624991;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;404840710;2900052885;CARPER STORE C A;2616177382;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;404840710;2900047807;CARPER STORE C A;4161624991;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;404840710;2900052886;CARPER STORE C A;2616177338;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;70370629;2000089591;CARPINTERIA LA REINA C.A;2617925283;NO EXISTOSA;TLF NO VALIDO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;300093590;2000076115;CARPINTERIA ZULIA C.A.;4146345756;EXITOSA;NO SABE LA INFORMACION;SI;NO SABE;;;;;CECILIO ACOSTA
JURIDICO;299793213;2900034027;CAR´S FORRO C.A;7988624;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;294575439;2900017271;CARTERAS Y MAS, C.A;7785537;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;300078361;2000035996;CARTIER SPORT S.A.;2617987428;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;303181660;2900026310;CAR WASH C.A;4146216406;EXITOSA;EMPRESA CERRADA;;;;;;;MANUEL DAGNINO
JURIDICO;401556221;2900039395;CASA ASTROLOGICA ANIMA DEL TAGUAIPIRE, C.A;2617231451;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;311951709;207P000757;CASA ASTROLOGICA DEL ZULIA, C.A;2617232716;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;312485990;2900003407;CASABLANCA SPORTS BOOK, C.A;4246581612;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;312485990;2900015974;CASABLANCA SPORTS BOOK, C.A;7629514;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;295524625;2900022891;CASA DE COSAS C.A;7591430;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;410783478;7000000196;CASA DEL CAMPO, C.A.;4146213918;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;299635278;2900036711;CASA DEL REY SPORT GYM, C.A;4246191127;EXITOSA;ESTAN POR IRSE DEL PAIS;SI;a2;NO;MEDIANA;EXCELENTE;ES MUY COMPLETO;MANUEL DAGNINO
JURIDICO;409824284;7000000478;CASA DE REPRESENTACIONES CABARCAS, C.A.;2617178201;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
JURIDICO;316191583;2900013522;CASA HIDRAULICA, S.A.;2617978652;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;310073660;2900033435;CASA HOGAR IMPORT 18 C.A;4146388204;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;401335594;2900039521;CASAIDEA C.A.;2617984095;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;400980291;2900037227;CASA MARTA MARACAIBO C.A.;4146267992;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;400980291;7000000921;CASA MARTA MARACAIBO, C.A. (SUCURSAL);4146267992;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;400980291;7000000925;CASA MARTA MARACAIBO, C.A. (SUCURSAL);4146267992;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;402088841;2900040391;CASA MILANO C.A;7231015;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;70058706;2000082163;CASA PACO C A;2617927025;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;303665721;202P000042;C.A.SAPPHIRE MOTORS COMPANY;4243483025;NO EXISTOSA;NO CONTESTA;;;;;;;IDELFONSO VASQUEZ
JURIDICO;300733238;2000812473;CASA RUBEN S S.A.;7483851;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;340218;2000041061;C.A SEGUROS AVILA;4243688796;NO EXISTOSA;USUARIO ERRADO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;70017368;2000041341;C.A. SEGUROS CATATUMBO;7005555;EXITOSA;SIN NOVEDAD;SI;NO SABE;NO;MEDIANA;SATISFACTORIA;ES SENCILLO DE MANEJAR;SANTA LUCIA
JURIDICO;298214597;2900031680;CASEROS MARIEV C.A;7418570;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;70397675;2000075670;C.A SERVICIOS DINO;7518690;NO EXISTOSA;NO CONTESTA;;;;;;;CACIQUE MARA
JURIDICO;297755683;7000001683;CASKA TECHNOLOGY,C.A.;2617832266;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;301365860;2000036250;CASUAL SPORT S.R.L.;4146452742;EXITOSA;NO ESTÁ INTERESADO;NO;;NO;;;;BOLIVAR
JURIDICO;312569069;2900001245;CAUCHOS CANAIMA S.A.;4143602272;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
JURIDICO;307262133;207R002133;CAUCHOS CENTER LAS DELICIAS CA;4246348580;EXITOSA;SIN NOVEDAD;SI;a2;SI;MEDIANA;EXCELENTE;ES MUY COMPLETO;CHIQUINQUIRA
JURIDICO;312119977;207P000754;CAUCHOS CONTROL, C.A;2617512638;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;70314842;2000011986;CAUCHOS EL CHAPARRAL C.A.;2617520708;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;296128561;2900033779;CAUCHOS HERMANOS FERNANDEZ C.A;76114010;NO EXISTOSA;TLF NO VALIDO;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;312625597;2900003491;CAUCHOS JR, CA;4246645996;NO EXISTOSA;USUARIO ERRADO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;312975059;2900033403;CAUCHOS LA PLAZA C.A;4146440548;EXITOSA;NO ESTÁ AUTORIZADO;;;;;;;IDELFONSO VASQUEZ
JURIDICO;311538470;2900034393;CAUCHOS LA PRADERA;4146374755;EXITOSA;EMPRESA CERRADA;;;;;;;RAUL LEONI
JURIDICO;299795321;2900031033;CAUCHOS MARACAIBO C.A;7421040;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;309730525;2900003460;CAUCHOS PANAMERICAN S.A.;4146222034;EXITOSA;NO ESTÁ AUTORIZADO;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;294693202;1900029650;CAUCHOS SANTA FE C.A.;4247977158;NO EXISTOSA;TLF NO VALIDO;;;;;;;RAUL LEONI
JURIDICO;306610618;209R000361;CAUCHOS Y RINES NOEL C.A.;7232359;NO EXISTOSA;NO CONTESTA;;;;;;;CACIQUE MARA
JURIDICO;70055251;2000041663;C.A. VIGILANTES DEL ZULIA;7526359;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;317323220;2900035614;CBI MARACAIBO, C.A.;7436937;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;314953320;2900013076;CECILIA`S C.A;4143688744;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
